Model,accuracy,precision,recall,f1_score,Training_Time,Prediction_Time
Random Forest,0.9547885269810403,0.959665855277293,0.9547885269810403,0.9562205858778792,1.0771164894104004,0.01
XGBoost,0.95770539620807,0.9619509212148717,0.95770539620807,0.9589535128186977,2.3753085136413574,0.01
